airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,5,5953
SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,5,5953
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,5,5953
SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,5,5953
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,5,5953
SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,5,5953
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,5,5953
Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,5,5955
Vistara,UK-951,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,5,5955
Vistara,UK-933,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,5,5955
Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,5,5955
Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,5,5955
Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,5,5955
Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,5,5955
Vistara,UK-871,Delhi,Night,one,Night,Mumbai,Economy,26.42,5,9840
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,5,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,5,12150
Vistara,UK-835,Delhi,Evening,one,Morning,Mumbai,Economy,13.08,5,13095
SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,6,5953
SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,6,5953
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,6,5953
SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,6,5953
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,6,5953
SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,6,5953
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,6,5953
Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,6,5955
Vistara,UK-943,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,6,5955
GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,6,5954
GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,6,5954
Vistara,UK-829,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5,6,9840
Vistara,UK-871,Delhi,Night,one,Night,Mumbai,Economy,26.42,6,9840
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,6,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,6,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,6,12150
